DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
4650219;1;5;1;10;5;1;11;1998;19;5;6;2; ;2; ; ; ;1; ; ;3; ; ;2;1;1;1;5;10;1; ;2;10;06;19;1988,0542350556
4650220;1;1;1;10;1;1;3;1939;79;1;3;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;760,062168814286
4650220;1;2;1;10;2;2;9;1942;75;2;3;3; ;3; ;1;1;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;760,062168814286
4650220;1;3;1;10;3;1;4;1967;51;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;760,062168814286
4650220;1;4;1;10;4;2;4;1968;50;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;760,062168814286
4650220;1;5;1;10;5;1;4;1971;47;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;06;19;760,062168814286
4650221;1;1;1;10;1;1;11;1958;59;1;3;2; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;760,062168814286
4650221;1;2;1;10;2;2;4;1967;51;2;3;3; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;760,062168814286
4650222;1;1;1;10;1;1;6;1987;31;1;2;2; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;1377,26342768027
4650222;1;2;1;10;2;2;3;1986;32;2;2;3; ;2; ;1;1;2;2; ; ; ; ;2;1;1;1;6;4;3; ;2;15;06;19;1377,26342768027
4650222;1;3;1;10;2;1;9;2003;14;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;4;9; ; ;2;9;06;19;1377,26342768027
4650223;1;1;1;10;1;1;12;1966;51;1;2;3; ;3; ;1;2;1; ; ;3; ; ;2;1;2; ;3;1; ; ;2;1;06;19;1384,46470493119
4650223;1;2;1;10;2;2;12;1965;52;2;2;3; ;2; ;1;1;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;1384,46470493119
4650223;1;3;1;10;3;2;6;1999;19;3;6;1;1;1;2; ; ;1; ; ;3; ; ;2;1;1;1;6;0;2;2;2;11;06;19;1384,46470493119
4650224;1;1;1;10;1;1;3;1960;58;1;2;2; ;2; ;2; ;1; ; ;3; ; ;2;1;2; ;3;1; ; ;2;1;06;19;996,200989014322
4650225;1;1;1;10;1;2;3;1941;77;1;5;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;06;19;1785,18637232679
4650225;1;2;1;10;2;1;7;1981;36;3;6;3; ;1;1; ; ;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;06;19;1785,18637232679
4650225;1;3;1;10;2;1;6;2006;12;4;6;1;2;2; ; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;1785,18637232679
4650226;1;1;1;10;1;1;3;1937;81;1;2;3; ;3; ;1;2;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;895,382234967861
4650226;1;2;1;10;2;2;12;1958;59;2;2;3; ;3; ;1;1;1; ; ;3; ; ;2;1;2; ;4;9; ; ;2;9;06;19;895,382234967861
4650227;1;1;1;10;2;1;4;1982;36;1;3;2; ;2; ;1;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;2020,80106793667
4650227;1;2;1;10;2;2;11;1981;36;2;3;2; ;2; ;1;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;2020,80106793667
4650227;1;3;1;10;2;1;3;2004;14;3;6;1;1;2; ; ; ;1; ; ;3; ; ;2;1;2; ;4;6; ; ;2;6;06;19;2020,80106793667
4650227;1;4;1;10;2;2;5;2010;8;3; ;2; ;1;2; ; ;1; ; ;3; ; ;2;1;1;1;3;2; ; ;2;2;06;19;2020,80106793667
4650228;1;1;1;10;1;2;4;1954;64;1;6;3; ;3; ; ; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;06;19;1785,18637232679
4650228;1;2;1;10;2;1;7;1993;24;3;6;2; ;1;1; ; ;1; ; ;3; ; ;2;1;2; ;4;9; ; ;2;9;06;19;1785,18637232679
4650228;1;3;1;10;3;1;9;1986;31;3;6;2; ;1;1; ; ;1; ; ;3; ; ;2;1;2; ;5;10;1; ;2;10;06;19;1785,18637232679
4650238;1;1;1;10;1;2;7;1952;65;1;2;3; ;3; ;2; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;06;19;1285,96743329827
4650238;1;2;1;10;2;2;11;1991;26;3;2;2; ;1;1;1;3;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;06;19;1285,96743329827
4650238;1;3;1;10;3;1;10;1986;31;5;2;2; ;2; ;1;2;2;2; ; ; ; ;1;1;2; ;5;11;2; ;2;11;06;19;1285,96743329827
4650238;1;4;1;10;2;1;12;2011;6;4; ;1;3;1;2; ; ;1; ; ;3; ; ;2;1;1;1;3;0; ; ;2;0;06;19;1285,96743329827
