DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011
4653123;1;1;1;70;2;4;45;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;400000;400000;2; ;61;61;01;1;1;06;0111;54;543,089727832096
4653144;1;2;1;70;2;24;50;1; ;2;24;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;95;95;45;1;2;06;4521;54;1000,00270014395
4653147;1;1;1;70;2;2;48;1; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;600000;2; ;71;61;01;1;1;06;0140;54;1056,39258023629
4653203;1;6;1;70;2;13;50;4; ;2;48;4; ;2;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;98;98;60;1;1;06;6031;66;295,562868857548
4653204;1;3;1;70;2;6;40;1; ;2;18;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781250;2; ;59;59;85;1;1;06;8511;66;415,073152385208
4653222;1;3;1;70;2;12;40;3; ;2;104;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;54;54;95;1;1;06;9500;66;608,576532677336
4653251;1;3;1;70;2;12;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;58; ; ;1;1;06; ;66;512,298216076539
4653403;1;3;1;70;2;20;48;1; ;2;20;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;45;38;74;1;2;06;7499;68;2436,91624378873
4653549;1;3;1;70;2;4;56;3; ;2;20;3; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;400000;2; ;54;54;95;1;1;06;9500;70;1568,52187746606
4653564;1;4;1;70;2;3;45;3; ;2;108;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;54;54;95;1;1;06;9500;70;2166,98706753196
4653576;1;3;1;70;2;3;44;4; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;350000;400000;2; ;61;61;01;1;1;06;0140;70;1447,02418451499
4653666;1;3;1;70;2;4;50;1; ;2;2;6; ;2;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;800000;1;1;39;62;01;1;1;06;0111;73;570,406975865618
4653666;1;4;1;70;2;3;48;1; ;2;4;8; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;400000;800000;2; ;39;62;01;1;1;06;0111;73;570,406975865618
4653668;1;4;1;70;2;2;14;1; ;2;41;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;240000;2; ;33;53;55;1;1;06;5521;73;532,110002218984
4653669;1;3;1;70;2;4;48;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;500000;1200000;2; ;50;54;95;1;1;06;9500;73;305,299359824504
4653683;1;2;1;70;2;10;18;1; ;2;150;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;45;54;95;1;1;06;9500;73;702,101103905667
4653698;1;3;1;70;2;6;44;8; ;2;6;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;781242;2; ;62;62;01;1;1;06;0111;73;428,981375832329
4653705;1;1;1;70;2;8;40;1; ;2;12;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;55;62;01;1;1;06;0111;73;1221,19743929802
4653748;1;4;1;70;2;5;48;1; ;2;5;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;781242;1000000;2; ;33;39;75;1;1;06;7512;73;750,662443837912
4653766;1;3;1;70;2;4;40;2; ;2;104;3; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;781242;2; ;39;54;95;1;1;06;9500;73;636,374849883194
4653806;1;3;1;70;2;24;24;1; ;2;24;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;500000;2; ;53;97;52;1;2;06;5211;73;442,841098659006
4653833;1;6;1;70;2;4;40;1; ;2;4;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;1;600000;800000;2; ;13;44;64;1;1;06;6424;73;2098,9843460599
4653838;1;4;1;70;2;4;20;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;500000; ; ;55; ; ;1;1;06; ;73;1939,64247219426
