DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
4647116;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;44;643,285871389752
4647116;1;5;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;44;643,285871389752
4647117;1;2;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;44;620,937465806364
4647117;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;44;620,937465806364
4647118;1;1;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;44;778,959637487209
4647131;1;2;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;44;632,551472616528
4647134;1;1;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;1000000;2;1;06;44;531,379445910738
4647136;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;44;610,461398431717
4647137;1;1;1;80; ;2;1;2;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;44;766,782034344615
4647140;1;2;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;44;539,338470838288
4647146;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;44;654,754661420186
4647155;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;44;750,484705645524
4647156;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;44;618,420423359267
4647158;1;2;1;80; ;2;1;4;6; ;2; ; ;6; ;2; ;2; ; ; ; ;2;1;06;44;334,209443330636
4647159;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;44;797,450998320629
4647159;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;44;797,450998320629
4647160;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;44;455,067616392987
4647265;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;63;2868,62100009299
4647269;1;2;1;80; ;2;1;1;3; ;2; ; ;1; ;2; ;1;50000;2; ;200000;2;1;06;63;4164,36148921494
4647271;1;2;1;80; ;2;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;63;4011,99559476427
4647271;1;3;1;80; ;2;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;63;4011,99559476427
4647275;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;63;4110,96357857308
4647278;1;2;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;63;2775,94030532173
4647278;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;63;2775,94030532173
4647279;1;2;1;80; ;2;1;1;4; ;2; ; ;4; ;2; ;2; ;2; ;600000;2;1;06;63;3591,76302202441
4647283;1;2;1;80; ;2;1;2;3; ;2; ; ;9; ;2; ;2; ;2; ;400000;2;1;06;63;7058,8658070276
4647284;1;2;1;80; ;2;1;1;3; ;1; ;1;9; ;2; ;2; ; ; ;600000;2;1;06;63;2765,83329091203
4647285;1;1;1;80; ;2;1;1;9;PARA DESCANSAR;2; ; ;12;PARA DESCANSAR;1; ;1;800000;2; ;500000;2;1;06;63;2961,30169486425
4647285;1;2;1;80; ;2;1;1;3; ;2; ; ;9; ;2; ;2; ;1;48;500000;2;1;06;63;2961,30169486425
4647285;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;500000;2;1;06;63;2961,30169486425
4647285;1;4;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;63;2961,30169486425
4647285;1;5;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;63;2961,30169486425
4647286;1;1;1;80; ;2;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;06;63;3142,77496741972
4647286;1;2;1;80; ;2;1;3;3; ;2; ; ;9; ;2; ;2; ;2; ;500000;2;1;06;63;3142,77496741972
4647286;1;4;1;80; ;2;1;2;6; ;1; ;1;1; ;2; ;2; ;2; ;1000000;2;1;06;63;3142,77496741972
4647286;1;5;1;80; ;2;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;06;63;3142,77496741972
4647289;1;1;1;80; ;2;1;3;7; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;63;2041,55286044359
4647289;1;5;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;63;2041,55286044359
4647290;1;1;1;80; ;2;1;2;4; ;2; ; ;4; ;3; ;2; ; ; ; ;3;1;06;63;4812,26726217362
4647290;1;2;1;80; ;2;1;1;9;CAMBIO DE RESIDENCIA;2; ; ;9; ;2; ;2; ; ; ; ;2;1;06;63;4812,26726217362
4647290;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;63;4812,26726217362
4647291;1;2;1;80; ;2;1;4;3; ;2; ; ;1; ;2; ;2; ;1;40;1000000;2;1;06;63;3591,76302202441
4647292;1;2;1;80; ;2;1;2;3; ;2; ; ;9; ;1; ;2; ;2; ;98;2;1;06;63;2775,94030532173
4647292;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;63;2775,94030532173
4647293;1;3;1;80; ;2;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;06;63;2104,37385432238
4647295;1;3;1;80; ;2;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;06;63;2775,94030532173
