DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;clase;MES;DPTO;fex_c_2011;AREA
4634637;1;3;1;90;2; ;1;3;2; ;1;12;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1536,86277204056;05
4634638;1;1;1;90;2; ;1;17;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1154,80505137649;05
4634639;1;1;1;90;2; ;1;25;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1585,70271729129;05
4634639;1;2;1;90;2; ;2; ;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1585,70271729129;05
4634640;1;1;1;90;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1231,10784411506;05
4634641;1;1;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1075,92420673572;05
4634641;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1075,92420673572;05
4634642;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1231,10784411506;05
4634643;1;1;1;90;2; ;1;18;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1083,64047286839;05
4634643;1;2;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1083,64047286839;05
4634644;1;1;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1038,63744099824;05
4634644;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1038,63744099824;05
4634644;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;1;6;2; ;2; ;2; ;1;06;05;1038,63744099824;05
4634645;1;1;1;90;2; ;1;19;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1151,3702888446;05
4634645;1;2;1;90;2; ;1;27;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1151,3702888446;05
4634645;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1151,3702888446;05
4634645;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1151,3702888446;05
4634645;1;5;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1151,3702888446;05
4634646;1;1;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1038,63744099824;05
4634646;1;2;1;90;2; ;1;15;2; ;2; ;1;20;2; ;2; ;2; ;2; ;2; ;1;06;05;1038,63744099824;05
4634646;1;3;1;90;2; ;1;25;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1038,63744099824;05
4634647;1;1;1;90;2; ;1;25;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1253,43247737243;05
4634648;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;1;3;2; ;2; ;2; ;1;06;05;1154,80505137649;05
4634649;1;1;1;90;2; ;1;18;1;4;1;10;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1150,97209799146;05
4634650;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1163,77621899198;05
4634650;1;2;1;90;2; ;1;5;2; ;2; ;1;8;2; ;2; ;2; ;2; ;2; ;1;06;05;1163,77621899198;05
4634651;1;1;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1231,10784411506;05
4634652;1;1;1;90;2; ;1;29;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1318,47062202813;05
4634653;1;1;1;90;2; ;1;25;2; ;2; ;2; ;2; ;1;4;2; ;2; ;2; ;1;06;05;1231,10784411506;05
4634654;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1163,77621899198;05
4634654;1;2;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1163,77621899198;05
4634655;1;1;1;90;2; ;1;25;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1150,97209799146;05
4634660;1;1;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;1;06;05;1163,77621899198;05
