DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;P5220;P5220S1;P6008;P6007;P6007S1;HOGAR;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P4040;REGIS;clase;MES;DPTO;fex_c_2011
4650497;1;2;2;1;1;1;1;1;4;4; ; ; ;300000; ;2;2;1;2;1;1;1;2;2;2;1;1;1;2;2;2;2;1;1;2;2;1;4;4;2; ;1;1;1;4;1;2;2;1;1;2;1;1;01;2;06;05;1330,94950905892
4650498;1;5;3;2;1;1;1;1;3;3; ; ; ; ;450000;1;1;1;1;1;1;1;2;2;2;1;2;1;2;2;2;2;2;2;1;2;1;2;3;2; ;1;1;1;4;1;2;1;2;1;2;1;1;01;2;06;05;940,850282176681
4650499;1;3;3;2;1;1;1;1;4;3; ; ; ; ;350000;2;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;2;2;1;2;2;1;4;6;2; ;1;1;1;4;1;2;2;2;1;2;1;1;01;2;06;05;1221,02605060575
4650500;1;3;1;2;1;1;1;1;3;4; ; ; ;800000; ;2;1;2;2;1;1;1;1;2;2;1;2;1;2;2;2;2;2;2;1;2;1;1;1;2; ;1;1;1;4;1;2;1;2;1;2;1;1;01;2;06;05;1170,58895069947
4650501;1;4;1;2;1;1;1;1;4;1; ; ;98;98; ;1;1;2;1;1;1;1;2;2;1;1;1;1;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;1;4;1;2;2;2;1;2;1;1;01;2;06;05;1122,95228099973
4650502;1;4;3;2;1;1;1;1;4;4; ; ; ;98; ;1;1;1;1;1;1;1;1;2;1;1;2;1;1;2;2;2;2;2;1;2;1;3;4;2; ;1;1;1;4;1;3;2;2;1;2;1;1;01;2;06;05;1464,29946804498
4650503;1;3;1;2;1;1;1;1;4;4; ; ; ;98; ;2;1;2;1;1;1;1;2;2;1;1;1;2;2;2;2;2;2;1;2;2;1;1;2;2; ;1;1;1;3;1;3;2;2;1;2;1;1;01;2;06;05;1122,95228099973
4650550;1;2;2;3;1;4;3;1;4;2; ;118000;98;50000; ;2;1;2;2;1;2;1;2;2;2;1;1;2;2;2;2;2;2;1;2;2;1;2;4;2; ;1;1;1;2;1;9;2;2;2; ;2; ;01;2;06;05;4257,0421839862
4650551;1;5;2;3;1;4;2;1;4;1; ; ;98;400000; ;2;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;1;1;1;2;2;1;3;4;2; ;1;1;1;4;1;1;2;2;2; ;2; ;01;2;06;05;2442,10113831559
4650552;1;4;3;2;1;1;3;1;4;1; ; ;98;98; ;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;2;4;2; ;1;1;1;2;1;1;2;2;1;8;2; ;01;2;06;05;2868,62100009299
4650553;1;4;3;2;1;4;3;1;4;1; ; ;40000000;200000; ;2;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;1;1;1;2;2;1;2;4;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;06;05;2041,55286044359
4650554;1;2;2;2;1;1;4;1;4;1; ; ;98;98; ;2;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;1;4;2; ;1;1;1;2;1;1;2;2;1;8;2; ;01;2;06;05;5842,44073577656
4650556;1;3;1;3;1;4;3;1;4;4; ; ; ;150000; ;2;1;2;1;1;1;1;2;2;2;1;1;1;2;2;2;1;2;1;2;2;1;2;2;2; ;1;1;1;2;1;1;2;2;2; ;2; ;01;2;06;05;3593,3331478962
4650557;1;3;2;2;1;1;4;1;4;3; ; ; ; ;120000;2;1;2;1;1;1;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;3;3;2; ;1;1;1;4;1;1;2;2;1;8;2; ;01;2;06;05;2775,94030532173
4650558;1;1;1;3;1;4;5;1;5;3; ; ; ; ;80000;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;2;2;2; ;1;1;5;3;1;1;2;2;2; ;2; ;01;2;06;05;3358,39357308396
4650559;1;3;2;2;1;1;3;1;4;4; ; ; ;98; ;2;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;2;2;1;1;4;2; ;1;1;1;2;1;1;2;2;1;8;2; ;01;2;06;05;5957,21198271669
4650571;1;2;2;2;1;1;2;1;5;4; ; ; ;98; ;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;1;4;2; ;1;1;2;1;1;1;2;2;1;8;2; ;01;2;06;05;6071,98322965682
4650572;1;3;1;2;1;1;3;1;4;4; ; ; ;200000; ;2;1;2;2;1;1;1;2;2;2;1;2;1;2;2;2;1;1;1;2;2;1;2;3;2; ;1;1;1;2;1;1;2;2;1;8;2; ;01;2;06;05;6487,83746570886
4650573;1;2;2;2;1;1;6;1;4;4; ; ; ;98; ;2;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;2;3;2; ;1;1;1;2;1;9;2;2;1;8;2; ;01;2;06;05;4049,59024227481
4650574;1;3;1;2;1;1;2;1;4;1; ; ;30000000;200000; ;2;2;2;2;1;1;1;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2; ;2;2; ;1;1;1;2;1;1;2;2;1;8;2; ;01;2;06;05;3591,76302202441
